"","lambda0","reduction","lambda1","zalpha","zbeta","k","csize","hcsize","nclust","arm.size","total.size","OR"
"1",158.367326650769,0.1,142.530593985692,1.96,0.8,1.06036087687443,231,92,1552,358512,717024,1.00070656101401
"2",158.367326650769,0.125,138.571410819423,1.96,0.8,1.06036087687443,231,92,969,223839,447678,1.00090861901652
"3",158.367326650769,0.25,118.775494988077,1.96,0.8,1.06036087687443,231,92,216,49896,99792,1.00212268265164
"4",158.367326650769,0.375,98.9795791567307,1.96,0.8,1.06036087687443,231,92,86,19866,39732,1.00382732813539
"5",158.367326650769,0.5,79.1836633253846,1.96,0.8,1.06036087687443,231,92,44,10164,20328,1.00639519790623
"6",158.367326650769,0.6,63.3469306603077,1.96,0.8,1.06036087687443,231,92,29,6699,13398,1.00962356917406
"7",158.367326650769,0.65,55.4285643277692,1.96,0.8,1.06036087687443,231,92,24,5544,11088,1.01194225877585
"8",158.367326650769,0.7,47.5101979952308,1.96,0.8,1.06036087687443,231,92,21,4851,9702,1.01505046269792
"9",158.367326650769,0.75,39.5918316626923,1.96,0.8,1.06036087687443,231,92,18,4158,8316,1.01943416437331
"10",158.367326650769,0.8,31.6734653301538,1.96,0.8,1.06036087687443,231,92,15,3465,6930,1.02608117444147
"11",158.367326650769,0.85,23.7550989976154,1.96,0.8,1.06036087687443,231,92,14,3234,6468,1.03735426508534
"12",158.367326650769,0.9,15.8367326650769,1.96,0.8,1.06036087687443,231,92,12,2772,5544,1.06066025588764
"13",158.367326650769,0.95,7.91836633253847,1.96,0.8,1.06036087687443,231,92,11,2541,5082,1.13731565435209
