"","lambda0","reduction","lambda1","zalpha","zbeta","k","csize","hcsize","nclust","arm.size","total.size","OR"
"1",124.948918475198,0.1,112.454026627678,1.96,0.8,0.891452225312428,241,95,1097,264377,528754,1.00089723093033
"2",124.948918475198,0.125,109.330303665798,1.96,0.8,0.891452225312428,241,95,686,165326,330652,1.0011538784234
"3",124.948918475198,0.25,93.7116888563987,1.96,0.8,0.891452225312428,241,95,153,36873,73746,1.00269653161412
"4",124.948918475198,0.375,78.0930740469989,1.96,0.8,0.891452225312428,241,95,61,14701,29402,1.00486425018895
"5",124.948918475198,0.5,62.4744592375991,1.96,0.8,0.891452225312428,241,95,32,7712,15424,1.00813345910157
"6",124.948918475198,0.6,49.9795673900793,1.96,0.8,0.891452225312428,241,95,21,5061,10122,1.01225000611421
"7",124.948918475198,0.65,43.7321214663194,1.96,0.8,0.891452225312428,241,95,18,4338,8676,1.01521103979151
"8",124.948918475198,0.7,37.4846755425595,1.96,0.8,0.891452225312428,241,95,15,3615,7230,1.01918613745608
"9",124.948918475198,0.75,31.2372296187996,1.96,0.8,0.891452225312428,241,95,13,3133,6266,1.02480385966093
"10",124.948918475198,0.8,24.9897836950396,1.96,0.8,0.891452225312428,241,95,11,2651,5302,1.03334752868845
"11",124.948918475198,0.85,18.7423377712797,1.96,0.8,0.891452225312428,241,95,10,2410,4820,1.04790800462473
"12",124.948918475198,0.9,12.4948918475198,1.96,0.8,0.891452225312428,241,95,9,2169,4338,1.07829564748747
"13",124.948918475198,0.95,6.24744592375992,1.96,0.8,0.891452225312428,241,95,8,1928,3856,1.18104045545253
